c_year,c_month,c_day,c_hours,Temp_avg,Avg,Temp_min,Temp_max,bug_cnt,Deg_Day,Cerattis Captitata,,low_thre,up_threshold,,Scl_fac_avg
2020,7,1,0,0.5536,24.7697248,0.5669,0.5448,,,,,15,35,,44.743
2020,7,1,1,0.5359,23.9777737,0.5399,0.5342,,,,Scaled,0.335247972,0.782245267,,
2020,7,1,2,0.509,22.774187,0.5187,0.5087,,,,,,,,
2020,7,1,3,0.4966,22.2193738,0.5091,0.4874,,,,,,,,
2020,7,1,4,0.4842,21.6645606,0.4951,0.4816,,,,,,,,
2020,7,1,5,0.4879,,0.4987,0.4808,,,,,,,,
2020,7,1,6,0.5015,,0.4995,0.5198,,,,,,,,
2020,7,1,7,0.5853,,0.5629,0.6062,,,,,,,,
2020,7,1,8,0.649,,0.6468,0.6702,,,,,,,,
2020,7,1,9,0.6868,,0.6904,0.6931,,,,,,,,
2020,7,1,10,0.7317,,0.7336,0.7319,,,,,,,,
2020,7,1,11,0.7557,,0.7637,0.7545,,,,,,,,
2020,7,1,12,0.7917,,0.7627,0.7967,,,,,,,,
2020,7,1,13,0.8223,,0.8241,0.8195,,,,,,,,
2020,7,1,14,0.8271,,0.8279,0.8326,,,,,,,,
2020,7,1,15,0.8147,,0.8229,0.809,,,,,,,,
2020,7,1,16,0.8103,,0.8065,0.8135,,,,,,,,
2020,7,1,17,0.7594,,0.7579,0.7692,,,,,,,,
2020,7,1,18,0.6898,,0.6708,0.7198,,,,,,,,
2020,7,1,19,0.6294,,0.6268,0.6392,,,,,,,,
2020,7,1,20,0.5859,,0.586,0.5936,,,,,,,,
2020,7,1,21,0.5577,,0.5705,0.553,,,,,,,,
2020,7,1,22,0.5497,,0.5577,0.5428,0,,,,,,,
2020,7,1,23,0.5322,,0.5439,0.527,,,,,,,,
2020,7,2,0,0.5217,,0.5327,0.518,,,,,,,,
2020,7,2,1,0.5093,,0.5191,0.5063,,,,,,,,
2020,7,2,2,0.4938,,0.5015,0.4917,,,,,,,,
2020,7,2,3,0.4814,,0.4911,0.4769,,,,,,,,
2020,7,2,4,0.4704,,0.4799,0.464,,,,,,,,
2020,7,2,5,0.4665,,0.4751,0.4626,,,,,,,,
2020,7,2,6,0.5032,,0.4819,0.5153,,,,,,,,
2020,7,2,7,0.5654,,0.5523,0.5758,,,,,,,,
2020,7,2,8,0.617,,0.607,0.6349,,,,,,,,
2020,7,2,9,0.6915,,0.6828,0.7087,,,,,,,,
2020,7,2,10,0.7385,,0.7382,0.7518,,,,,,,,
2020,7,2,11,0.7861,,0.7897,0.7908,,,,,,,,
2020,7,2,12,0.8103,,0.8197,0.8115,,,,,,,,
2020,7,2,13,0.8544,,0.8461,0.8609,,,,,,,,
2020,7,2,14,0.878,,0.8783,0.8757,,,,,,,,
2020,7,2,15,0.8798,,0.8811,0.8806,,,,,,,,
2020,7,2,16,0.8513,,0.8643,0.8472,,,,,,,,
2020,7,2,17,0.8334,,0.8333,0.8379,,,,,,,,
2020,7,2,18,0.7604,,0.7194,0.798,,,,,,,,
2020,7,2,19,0.6667,,0.6444,0.6864,,,,,,,,
2020,7,2,20,0.5928,,0.584,0.6088,,,,,,,,
2020,7,2,21,0.5426,,0.5443,0.5469,,,,,,,,
2020,7,2,22,0.5129,,0.5203,0.5124,1,,,,,,,
2020,7,2,23,0.4958,,0.5053,0.4923,,,,,,,,
2020,7,3,0,0.4881,,0.4995,0.4804,,,,,,,,
2020,7,3,1,0.4855,,0.4981,0.4788,,,,,,,,
2020,7,3,2,0.4729,,0.4833,0.4702,,,,,,,,
2020,7,3,3,0.4767,,0.4881,0.471,,,,,,,,
2020,7,3,4,0.4676,,0.4709,0.4695,,,,,,,,
2020,7,3,5,0.4509,,0.4607,0.4433,,,,,,,,
2020,7,3,6,0.4737,,0.4661,0.4933,,,,,,,,
2020,7,3,7,0.5619,,0.5473,0.5783,,,,,,,,
2020,7,3,8,0.6518,,0.6348,0.6597,,,,,,,,
2020,7,3,9,0.7053,,0.6702,0.7413,,,,,,,,
2020,7,3,10,0.7675,,0.7721,0.768,,,,,,,,
2020,7,3,11,0.8027,,0.7687,0.8217,,,,,,,,
2020,7,3,12,0.8475,,0.8515,0.8542,,,,,,,,
2020,7,3,13,0.8861,,0.8959,0.882,,,,,,,,
2020,7,3,14,0.904,,0.8965,0.9048,,,,,,,,
2020,7,3,15,0.8938,,0.9065,0.8886,,,,,,,,
2020,7,3,16,0.8696,,0.8709,0.874,,,,,,,,
2020,7,3,17,0.8284,,0.8145,0.8453,,,,,,,,
2020,7,3,18,0.7525,,0.7194,0.7768,,,,,,,,
2020,7,3,19,0.6634,,0.646,0.6843,,,,,,,,
2020,7,3,20,0.5967,,0.5942,0.6096,,,,,,,,
2020,7,3,21,0.5558,,0.5553,0.5598,,,,,,,,
2020,7,3,22,0.5278,,0.5355,0.5239,3,,,,,,,
2020,7,3,23,0.5208,,0.5311,0.5165,,,,,,,,
2020,7,4,0,0.5493,,0.5541,0.5444,,,,,,,,
2020,7,4,1,0.5361,,0.5473,0.5321,,,,,,,,
2020,7,4,2,0.518,,0.5299,0.5136,,,,,,,,
2020,7,4,3,0.5107,,0.5233,0.5056,,,,,,,,
2020,7,4,4,0.4934,,0.4989,0.4939,,,,,,,,
2020,7,4,5,0.4834,,0.4959,0.4794,,,,,,,,
2020,7,4,6,0.5174,,0.5151,0.53,,,,,,,,
2020,7,4,7,0.5821,,0.5725,0.5955,,,,,,,,
2020,7,4,8,0.6443,,0.6266,0.6593,,,,,,,,
2020,7,4,9,0.7122,,0.7006,0.7225,,,,,,,,
2020,7,4,10,0.7596,,0.7551,0.7664,,,,,,,,
2020,7,4,11,0.7956,,0.7861,0.8014,,,,,,,,
2020,7,4,12,0.8253,,0.8205,0.8341,,,,,,,,
2020,7,4,13,0.8438,,0.8311,0.8578,,,,,,,,
2020,7,4,14,0.8729,,0.8797,0.873,,,,,,,,
2020,7,4,15,0.8607,,0.8791,0.8529,,,,,,,,
2020,7,4,16,0.8265,,0.8213,0.8289,,,,,,,,
2020,7,4,17,0.7932,,0.8009,0.7885,,,,,,,,
2020,7,4,18,0.7232,,0.7006,0.7561,,,,,,,,
2020,7,4,19,0.6541,,0.6438,0.6675,,,,,,,,
2020,7,4,20,0.6054,,0.5918,0.6088,,,,,,,,
2020,7,4,21,0.5642,,0.5721,0.5592,,,,,,,,
2020,7,4,22,0.5475,,0.5607,0.5411,3,,,,,,,
2020,7,4,23,0.5503,,0.5583,0.5499,,,,,,,,
2020,7,5,0,0.5532,,0.5617,0.5481,,,,,,,,
2020,7,5,1,0.5463,,0.5567,0.5424,,,,,,,,
2020,7,5,2,0.5469,,0.5535,0.5442,,,,,,,,
2020,7,5,3,0.5304,,0.5413,0.5243,,,,,,,,
2020,7,5,4,0.5174,,0.5305,0.5114,,,,,,,,
2020,7,5,5,0.5068,,0.5187,0.4999,,,,,,,,
2020,7,5,6,0.5253,,0.5207,0.554,,,,,,,,
2020,7,5,7,0.6146,,0.6048,0.623,,,,,,,,
2020,7,5,8,0.6559,,0.6422,0.6675,,,,,,,,
2020,7,5,9,0.7208,,0.705,0.7309,,,,,,,,
2020,7,5,10,0.7572,,0.7525,0.7793,,,,,,,,
2020,7,5,11,0.7861,,0.7889,0.8035,,,,,,,,
2020,7,5,12,0.8137,,0.8119,0.831,,,,,,,,
2020,7,5,13,0.8568,,0.8641,0.8548,,,,,,,,
2020,7,5,14,0.8523,,0.8645,0.8521,,,,,,,,
2020,7,5,15,0.8312,,0.8239,0.8396,,,,,,,,
2020,7,5,16,0.7891,,0.7879,0.7922,,,,,,,,
2020,7,5,17,0.7374,,0.7364,0.7461,,,,,,,,
2020,7,5,18,0.6866,,0.6746,0.6997,,,,,,,,
2020,7,5,19,0.6356,,0.6336,0.642,,,,,,,,
2020,7,5,20,0.6018,,0.6048,0.6023,,,,,,,,
2020,7,5,21,0.5794,,0.5896,0.5723,,,,,,,,
2020,7,5,22,0.5631,,0.5715,0.5586,3,,,,,,,
2020,7,5,23,0.5607,,0.5727,0.5522,,,,,,,,
2020,7,6,0,0.5548,,0.5665,0.5491,,,,,,,,
2020,7,6,1,0.5414,,0.5533,0.5364,,,,,,,,
2020,7,6,2,0.5353,,0.5501,0.5253,,,,,,,,
2020,7,6,3,0.5581,,0.5745,0.5469,,,,,,,,
2020,7,6,4,0.5241,,0.5367,0.5159,,,,,,,,
2020,7,6,5,0.5267,,0.5375,0.5208,,,,,,,,
2020,7,6,6,0.5487,,0.5521,0.5569,,,,,,,,
